"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 20:42:49 UTC 2024","Thu Jul 04 20:42:55 UTC 2024","5338","Login","","","","","Login com sucesso",""
"passed","Thu Jul 04 20:42:53 UTC 2024","Thu Jul 04 20:42:55 UTC 2024","1195","Login","","","","","Assinar news",""
